"Date","PM2.5 AQI Value","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2018","139","Donovan","06-073-1014","AQS","165","54","99.4","01/01/2014","01/01/2017"
"01/02/2018","94","Donovan","06-073-1014","AQS","122","35","68.4","01/02/2002","01/02/2006"
"01/03/2018","94","Chula Vista","06-073-0001","AQS","114","31","73.8","01/03/2002","01/03/2005"
"01/04/2018","76","Donovan","06-073-1014","AQS","111","45","69.8","01/04/2001","01/04/2005"
"01/05/2018","78","Donovan","06-073-1014","AQS","111","14","58.4","01/05/2001","01/05/2008"
"01/06/2018","82","Donovan","06-073-1014","AQS","98","28","59.6","01/06/2002","01/06/2008"
"01/07/2018","67","Donovan","06-073-1014","AQS","114","33","53.2","01/07/2001","01/07/2008"
"01/08/2018","68","Donovan","06-073-1014","AQS","118","25","59","01/08/2004","01/08/2005"
"01/09/2018","46","Pala Airpad","06-073-1201","AQS","133","9","60","01/09/2000","01/09/2005"
"01/10/2018","40","Camp Pendleton","06-073-1008","AQS","138","20","53.8","01/10/2000","01/10/2005"
"01/11/2018","49","El Cajon - Lexington Elementary School","06-073-1022","AQS","138","19","56.6","01/11/2000","01/11/2005"
"01/12/2018","76","Camp Pendleton","06-073-1008","AQS","107","35","58.8","01/12/2014","01/12/2005"
"01/13/2018","56","El Cajon - Lexington Elementary School","06-073-1022","AQS","102","48","55.4","01/13/2000","01/13/2009"
"01/14/2018","51","El Cajon - Lexington Elementary School","06-073-1022","AQS","107","34","58.6","01/14/2001","01/14/2008"
"01/15/2018","59","El Cajon - Lexington Elementary School","06-073-1022","AQS","82","40","54.4","01/15/2001","01/15/2007"
"01/16/2018","64","Camp Pendleton","06-073-1008","AQS","109","25","51.8","01/16/2000","01/16/2019"
"01/17/2018","88","Camp Pendleton","06-073-1008","AQS","124","47","67.2","01/17/2003","01/17/2008"
"01/18/2018","72","Camp Pendleton","06-073-1008","AQS","122","33","59.6","01/18/2004","01/18/2019"
"01/19/2018","63","El Cajon - Lexington Elementary School","06-073-1022","AQS","120","37","54.2","01/19/2004","01/19/2000"
"01/20/2018","68","Pala Airpad","06-073-1201","AQS","105","39","61.6","01/20/2002","01/20/2010"
"01/21/2018","55","El Cajon - Lexington Elementary School","06-073-1022","AQS","95","25","60.6","01/21/2001","01/21/2010"
"01/22/2018","52","El Cajon - Lexington Elementary School","06-073-1022","AQS","114","30","52.8","01/22/2003","01/22/2010"
"01/23/2018","56","El Cajon - Lexington Elementary School","06-073-1022","AQS","138","34","48.8","01/23/2003","01/23/2017"
"01/24/2018","51","El Cajon - Lexington Elementary School","06-073-1022","AQS","99","16","53.4","01/24/2003","01/24/2008"
"01/25/2018","47","Donovan","06-073-1014","AQS","80","33","52","01/25/2002","01/25/2008"
"01/26/2018","47","Camp Pendleton","06-073-1008","AQS","84","37","52.4","01/26/2010","01/26/2015"
"01/27/2018","63","El Cajon - Lexington Elementary School","06-073-1022","AQS","75","23","58.4","01/27/2016","01/27/2008"
"01/28/2018","54","El Cajon - Lexington Elementary School","06-073-1022","AQS","89","27","62.8","01/28/2000","01/28/2008"
"01/29/2018","33","El Cajon - Lexington Elementary School","06-073-1022","AQS","92","33","66.4","01/29/2003","01/29/2018"
"01/30/2018","37","Donovan","06-073-1014","AQS","123","37","57.6","01/30/2003","01/30/2018"
"01/31/2018","59","Donovan","06-073-1014","AQS","82","20","57.8","01/31/2019","01/31/2007"
"02/01/2018","63","Donovan","06-073-1014","AQS","106","43","61.6","02/01/2012","02/01/2016"
"02/02/2018","71","Camp Pendleton","06-073-1008","AQS","87","31","52.2","02/02/2002","02/02/2005"
"02/03/2018","83","Camp Pendleton","06-073-1008","AQS","88","25","63.2","02/03/2002","02/03/2004"
"02/04/2018","64","Camp Pendleton","06-073-1008","AQS","110","27","58.2","02/04/2015","02/04/2019"
"02/05/2018","64","Donovan","06-073-1014","AQS","131","26","71","02/05/2006","02/05/2019"
"02/06/2018","70","El Cajon - Lexington Elementary School","06-073-1022","AQS","131","20","65.4","02/06/2015","02/06/2010"
"02/07/2018","71","Camp Pendleton","06-073-1008","AQS","127","6","58.6","02/07/2000","02/07/2008"
