"","Date","PM2.5.AQI.Value","Site.Name","Site.ID","Source","X20.year.High..2000.2019.","X20.year.Low..2000.2019.","X5.year.Average..2015.2019.","Date.of.20.year.High","Date.of.20.year.Low"
"1","01/01/2016",91,"San Ysidro","06-073-1019","AQS",165,54,"99.4","01/01/2014","01/01/2017"
"2","01/02/2016",66,"San Ysidro","06-073-1019","AQS",122,35,"68.4","01/02/2002","01/02/2006"
"3","01/03/2016",75,"San Ysidro","06-073-1019","AQS",114,31,"73.8","01/03/2002","01/03/2005"
"4","01/04/2016",48,"San Ysidro","06-073-1019","AQS",111,45,"69.8","01/04/2001","01/04/2005"
"5","01/05/2016",39,"La Posta Reservation","06-073-1011","AQS",111,14,"58.4","01/05/2001","01/05/2008"
"6","01/06/2016",68,"La Posta Reservation","06-073-1011","AQS",98,28,"59.6","01/06/2002","01/06/2008"
"7","01/07/2016",40,"La Posta Reservation","06-073-1011","AQS",114,33,"53.2","01/07/2001","01/07/2008"
"8","01/08/2016",58,"San Ysidro","06-073-1019","AQS",118,25,"59","01/08/2004","01/08/2005"
"9","01/09/2016",56,"San Ysidro","06-073-1019","AQS",133,9,"60","01/09/2000","01/09/2005"
"10","01/10/2016",59,"San Ysidro","06-073-1019","AQS",138,20,"53.8","01/10/2000","01/10/2005"
"11","01/11/2016",62,"San Ysidro","06-073-1019","AQS",138,19,"56.6","01/11/2000","01/11/2005"
"12","01/12/2016",55,"San Ysidro","06-073-1019","AQS",107,35,"58.8","01/12/2014","01/12/2005"
"13","01/13/2016",66,"San Ysidro","06-073-1019","AQS",102,48,"55.4","01/13/2000","01/13/2009"
"14","01/14/2016",76,"San Ysidro","06-073-1019","AQS",107,34,"58.6","01/14/2001","01/14/2008"
"15","01/15/2016",60,"Donovan","06-073-1014","AQS",82,40,"54.4","01/15/2001","01/15/2007"
"16","01/16/2016",64,"Donovan","06-073-1014","AQS",109,25,"51.8","01/16/2000","01/16/2019"
"17","01/17/2016",74,"Donovan","06-073-1014","AQS",124,47,"67.2","01/17/2003","01/17/2008"
"18","01/18/2016",60,"Donovan","06-073-1014","AQS",122,33,"59.6","01/18/2004","01/18/2019"
"19","01/19/2016",45,"Donovan","06-073-1014","AQS",120,37,"54.2","01/19/2004","01/19/2000"
"20","01/20/2016",53,"Donovan","06-073-1014","AQS",105,39,"61.6","01/20/2002","01/20/2010"
"21","01/21/2016",55,"Camp Pendleton","06-073-1008","AQS",95,25,"60.6","01/21/2001","01/21/2010"
"22","01/22/2016",60,"San Diego - Beardsley Street","06-073-1010","AQS",114,30,"52.8","01/22/2003","01/22/2010"
"23","01/23/2016",64,"San Ysidro","06-073-1019","AQS",138,34,"48.8","01/23/2003","01/23/2017"
"24","01/24/2016",51,"San Diego - Beardsley Street","06-073-1010","AQS",99,16,"53.4","01/24/2003","01/24/2008"
"25","01/25/2016",62,"San Ysidro","06-073-1019","AQS",80,33,"52","01/25/2002","01/25/2008"
"26","01/26/2016",67,"La Posta Reservation","06-073-1011","AQS",84,37,"52.4","01/26/2010","01/26/2015"
"27","01/27/2016",75,"La Posta Reservation","06-073-1011","AQS",75,23,"58.4","01/27/2016","01/27/2008"
"28","01/28/2016",62,"San Ysidro","06-073-1019","AQS",89,27,"62.8","01/28/2000","01/28/2008"
"29","01/29/2016",86,"San Ysidro","06-073-1019","AQS",92,33,"66.4","01/29/2003","01/29/2018"
"30","01/30/2016",68,"San Ysidro","06-073-1019","AQS",123,37,"57.6","01/30/2003","01/30/2018"
"31","01/31/2016",22,"Donovan","06-073-1014","AQS",82,20,"57.8","01/31/2019","01/31/2007"
"32","02/01/2016",43,"San Ysidro","06-073-1019","AQS",106,43,"61.6","02/01/2012","02/01/2016"
"33","02/02/2016",43,"San Ysidro","06-073-1019","AQS",87,31,"52.2","02/02/2002","02/02/2005"
"34","02/03/2016",53,"San Ysidro","06-073-1019","AQS",88,25,"63.2","02/03/2002","02/03/2004"
"35","02/04/2016",53,"La Posta Reservation","06-073-1011","AQS",110,27,"58.2","02/04/2015","02/04/2019"
"36","02/05/2016",92,"La Posta Reservation","06-073-1011","AQS",131,26,"71","02/05/2006","02/05/2019"
"37","02/06/2016",50,"La Posta Reservation","06-073-1011","AQS",131,20,"65.4","02/06/2015","02/06/2010"
"38","02/07/2016",70,"La Posta Reservation","06-073-1011","AQS",127,6,"58.6","02/07/2000","02/07/2008"
"39","02/08/2016",54,"La Posta Reservation","06-073-1011","AQS",93,37,"55","02/08/2000","02/08/2009"
"40","02/09/2016",47,"San Ysidro","06-073-1019","AQS",99,27,"58.4","02/09/2007","02/09/2009"
"41","02/10/2016",53,"San Ysidro","06-073-1019","AQS",88,24,"56.6","02/10/2006","02/10/2000"
"42","02/11/2016",59,"Camp Pendleton","06-073-1008","AQS",87,13,"56","02/11/2018","02/11/2005"
"43","02/12/2016",64,"San Ysidro","06-073-1019","AQS",83,19,"62.8","02/12/2015","02/12/2003"
"44","02/13/2016",117,"Donovan","06-073-1014","AQS",117,22,"65","02/13/2016","02/13/2001"
"45","02/14/2016",86,"Camp Pendleton","06-073-1008","AQS",86,28,"55.2","02/14/2016","02/14/2003"
"46","02/15/2016",58,"San Ysidro","06-073-1019","AQS",110,32,"47.8","02/15/2002","02/15/2019"
"47","02/16/2016",46,"San Ysidro","06-073-1019","AQS",95,28,"53.2","02/16/2002","02/16/2011"
"48","02/17/2016",55,"Donovan","06-073-1014","AQS",91,28,"55.8","02/17/2004","02/17/2019"
"49","02/18/2016",39,"Donovan","06-073-1014","AQS",99,20,"46.8","02/18/2008","02/18/2005"
"50","02/19/2016",53,"Donovan","06-073-1014","AQS",143,14,"75","02/19/2018","02/19/2005"
"51","02/20/2016",58,"San Ysidro","06-073-1019","AQS",94,18,"58.6","02/20/2015","02/20/2005"
"52","02/21/2016",68,"San Ysidro","06-073-1019","AQS",80,20,"50.4","02/21/2001","02/21/2000"
"53","02/22/2016",76,"San Ysidro","06-073-1019","AQS",76,15,"45","02/22/2016","02/22/2004"
"54","02/23/2016",64,"San Ysidro","06-073-1019","AQS",70,15,"44.4","02/23/2014","02/23/2005"
"55","02/24/2016",37,"San Ysidro","06-073-1019","AQS",77,20,"44.8","02/24/2012","02/24/2000"
"56","02/25/2016",64,"San Ysidro","06-073-1019","AQS",86,20,"51","02/25/2006","02/25/2003"
"57","02/26/2016",68,"San Ysidro","06-073-1019","AQS",92,17,"54","02/26/2006","02/26/2017"
"58","02/27/2016",64,"Donovan","06-073-1014","AQS",90,12,"47.4","02/27/2000","02/27/2017"
"59","02/28/2016",73,"San Ysidro","06-073-1019","AQS",78,18,"50.6","02/28/2002","02/28/2007"
"60","02/29/2016",102,"Donovan","06-073-1014","AQS",102,47,".","02/29/2016","02/29/2004"
"61","03/01/2016",98,"San Diego - Beardsley Street","06-073-1010","AQS",98,28,"47.6","03/01/2016","03/01/2015"
"62","03/02/2016",83,"San Ysidro","06-073-1019","AQS",83,28,"45.8","03/02/2016","03/02/2005"
"63","03/03/2016",67,"Donovan","06-073-1014","AQS",67,25,"36.8","03/03/2016","03/03/2018"
"64","03/04/2016",52,"Donovan","06-073-1014","AQS",63,5,"39.8","03/04/2011","03/04/2000"
"65","03/05/2016",37,"Alpine","06-073-1006","AQS",81,21,"54.4","03/05/2017","03/05/2005"
"66","03/06/2016",25,"San Diego - Beardsley Street","06-073-1010","AQS",77,21,"41","03/06/2015","03/06/2018"
"67","03/07/2016",25,"San Ysidro","06-073-1019","AQS",61,25,"38.8","03/07/2004","03/07/2016"
"68","03/08/2016",30,"San Ysidro","06-073-1019","AQS",76,24,"37.6","03/08/2005","03/08/2019"
"69","03/09/2016",51,"San Ysidro","06-073-1019","AQS",89,29,"48","03/09/2005","03/09/2019"
"70","03/10/2016",65,"San Ysidro","06-073-1019","AQS",96,28,"61.6","03/10/2015","03/10/2006"
"71","03/11/2016",58,"San Ysidro","06-073-1019","AQS",88,17,"57","03/11/2015","03/11/2006"
"72","03/12/2016",54,"La Posta Reservation","06-073-1011","AQS",95,4,"54.8","03/12/2004","03/12/2000"
"73","03/13/2016",51,"San Ysidro","06-073-1019","AQS",85,31,"57.2","03/13/2003","03/13/2006"
"74","03/14/2016",26,"Donovan","06-073-1014","AQS",155,26,"38.2","03/14/2009","03/14/2016"
"75","03/15/2016",47,"San Ysidro","06-073-1019","AQS",93,24,"43.6","03/15/2000","03/15/2019"
"76","03/16/2016",73,"San Ysidro","06-073-1019","AQS",102,25,"54.8","03/16/2004","03/16/2008"
"77","03/17/2016",63,"Donovan","06-073-1014","AQS",91,23,"50.4","03/17/2000","03/17/2002"
"78","03/18/2016",60,"Donovan","06-073-1014","AQS",90,18,"52.8","03/18/2004","03/18/2018"
"79","03/19/2016",56,"Donovan","06-073-1014","AQS",109,24,"53.6","03/19/2004","03/19/2005"
"80","03/20/2016",61,"Donovan","06-073-1014","AQS",111,29,"52","03/20/2004","03/20/2007"
"81","03/21/2016",51,"Donovan","06-073-1014","AQS",113,18,"46.2","03/21/2004","03/21/2017"
"82","03/22/2016",45,"La Posta Reservation","06-073-1011","AQS",106,23,"39.8","03/22/2004","03/22/2017"
"83","03/23/2016",53,"La Posta Reservation","06-073-1011","AQS",72,20,"38.8","03/23/2004","03/23/2005"
"84","03/24/2016",49,"Donovan","06-073-1014","AQS",90,21,"40.4","03/24/2001","03/24/2005"
"85","03/25/2016",50,"Donovan","06-073-1014","AQS",76,27,"45.8","03/25/2008","03/25/2017"
"86","03/26/2016",58,"Donovan","06-073-1014","AQS",80,25,"48","03/26/2014","03/26/2012"
"87","03/27/2016",66,"Donovan","06-073-1014","AQS",69,23,"54.2","03/27/2019","03/27/2007"
"88","03/28/2016",62,"La Posta Reservation","06-073-1011","AQS",89,29,"54.4","03/28/2001","03/28/2010"
"89","03/29/2016",33,"San Diego - Beardsley Street","06-073-1010","AQS",96,20,"47.4","03/29/2001","03/29/2006"
"90","03/30/2016",30,"San Diego - Beardsley Street","06-073-1010","AQS",102,30,"55.8","03/30/2001","03/30/2016"
"91","03/31/2016",40,"La Posta Reservation","06-073-1011","AQS",93,26,"56","03/31/2002","03/31/2006"
"92","04/01/2016",61,"Donovan","06-073-1014","AQS",94,27,"61.4","04/01/2002","04/01/2010"
"93","04/02/2016",65,"Donovan","06-073-1014","AQS",84,24,"61.4","04/02/2002","04/02/2003"
"94","04/03/2016",62,"Donovan","06-073-1014","AQS",75,25,"57.4","04/03/2002","04/03/2008"
"95","04/04/2016",63,"Donovan","06-073-1014","AQS",92,27,"49.2","04/04/2000","04/04/2017"
"96","04/05/2016",61,"Donovan","06-073-1014","AQS",74,23,"49.8","04/05/2000","04/05/2019"
"97","04/06/2016",72,"Donovan","06-073-1014","AQS",73,19,"48.8","04/06/2000","04/06/2019"
"98","04/07/2016",62,"Donovan","06-073-1014","AQS",83,30,"53.4","04/07/2000","04/07/2006"
"99","04/08/2016",52,"Donovan","06-073-1014","AQS",92,23,"46.2","04/08/2000","04/08/2007"
"100","04/09/2016",40,"Donovan","06-073-1014","AQS",75,21,"48.8","04/09/2002","04/09/2006"
"101","04/10/2016",20,"Donovan","06-073-1014","AQS",87,20,"50","04/10/2002","04/10/2016"
"102","04/11/2016",39,"Donovan","06-073-1014","AQS",65,27,"51.6","04/11/2002","04/11/2012"
"103","04/12/2016",39,"Donovan","06-073-1014","AQS",74,20,"50","04/12/2002","04/12/2001"
"104","04/13/2016",51,"Donovan","06-073-1014","AQS",70,15,"53.8","04/13/2019","04/13/2003"
"105","04/14/2016",59,"Donovan","06-073-1014","AQS",82,20,"48.8","04/14/2002","04/14/2000"
"106","04/15/2016",58,"Donovan","06-073-1014","AQS",75,21,"57.8","04/15/2011","04/15/2006"
"107","04/16/2016",40,"Donovan","06-073-1014","AQS",74,14,"56.4","04/16/2011","04/16/2006"
"108","04/17/2016",44,"La Posta Reservation","06-073-1011","AQS",66,20,"48.8","04/17/2011","04/17/2000"
"109","04/18/2016",49,"Donovan","06-073-1014","AQS",67,18,"49.4","04/18/2015","04/18/2017"
